exercise_id;image_ref;image_status;notes
mat_hundred;image_reference/pilates_exercise_reference_sheet.svg#mat_hundred;direct;Referência esquemática direta
mat_roll_up;image_reference/pilates_exercise_reference_sheet.svg#mat_roll_up;direct;Referência esquemática direta
mat_pelvic_curl;image_reference/pilates_exercise_reference_sheet.svg#mat_pelvic_curl;direct;Referência esquemática direta
mat_single_leg_stretch;image_reference/pilates_exercise_reference_sheet.svg#mat_hundred;family_placeholder;Usar como base visual provisória para abdominal em flexão
mat_double_leg_stretch;image_reference/pilates_exercise_reference_sheet.svg#mat_hundred;family_placeholder;Usar como base visual provisória para abdominal em flexão
mat_spine_stretch;image_reference/pilates_exercise_reference_sheet.svg#mat_roll_up;family_placeholder;Usar como base visual provisória para flexão de coluna sentada
mat_swan_prep;image_reference/pilates_exercise_reference_sheet.svg#mat_swan_prep;direct;Referência esquemática direta
mat_swimming;image_reference/pilates_exercise_reference_sheet.svg#mat_swan_prep;family_placeholder;Usar como base visual provisória para extensão em prono
mat_side_kick;image_reference/pilates_exercise_reference_sheet.svg#mat_side_kick;direct;Referência esquemática direta
mat_teaser_prep;image_reference/pilates_exercise_reference_sheet.svg#mat_roll_up;family_placeholder;Usar como base visual provisória para flexão/controle global
mat_plank;image_reference/pilates_exercise_reference_sheet.svg#mat_plank;direct;Referência esquemática direta
mat_cat_stretch;image_reference/pilates_exercise_reference_sheet.svg#mat_plank;family_placeholder;Usar como base provisória para quatro apoios até criar imagem específica
ref_footwork;image_reference/pilates_exercise_reference_sheet.svg#ref_footwork;direct;Referência esquemática direta
ref_leg_circles;image_reference/pilates_exercise_reference_sheet.svg#ref_leg_circles;direct;Referência esquemática direta
ref_hundred;image_reference/pilates_exercise_reference_sheet.svg#mat_hundred;family_placeholder;Mesmo padrão visual do Hundred com resistência de alças
ref_short_spine;image_reference/pilates_exercise_reference_sheet.svg#ref_leg_circles;family_placeholder;Usar como base provisória de pés nas alças
ref_bridging;image_reference/pilates_exercise_reference_sheet.svg#mat_pelvic_curl;family_placeholder;Usar como base provisória de ponte
ref_long_stretch;image_reference/pilates_exercise_reference_sheet.svg#mat_plank;family_placeholder;Usar como base visual de prancha no Reformer
ref_scooter;image_reference/pilates_exercise_reference_sheet.svg#ref_scooter;direct;Referência esquemática direta
ref_side_splits;image_reference/pilates_exercise_reference_sheet.svg#ref_scooter;family_placeholder;Usar como base provisória de exercício em pé no Reformer
cad_roll_down;image_reference/pilates_exercise_reference_sheet.svg#mat_roll_up;family_placeholder;Usar como base provisória de flexão segmentar
cad_leg_springs;image_reference/pilates_exercise_reference_sheet.svg#cad_leg_springs;direct;Referência esquemática direta
cad_arm_springs;image_reference/pilates_exercise_reference_sheet.svg#cad_leg_springs;family_placeholder;Usar como base provisória de molas no Cadillac
cad_push_through;image_reference/pilates_exercise_reference_sheet.svg#cad_leg_springs;family_placeholder;Criar imagem específica na próxima versão
cad_monkey;image_reference/pilates_exercise_reference_sheet.svg#cad_leg_springs;family_placeholder;Criar imagem específica na próxima versão
chair_footwork;image_reference/pilates_exercise_reference_sheet.svg#chair_footwork;direct;Referência esquemática direta
chair_pike;image_reference/pilates_exercise_reference_sheet.svg#chair_footwork;family_placeholder;Criar imagem específica na próxima versão
chair_mermaid;image_reference/pilates_exercise_reference_sheet.svg#chair_footwork;family_placeholder;Criar imagem específica na próxima versão
chair_step_up;image_reference/pilates_exercise_reference_sheet.svg#chair_footwork;family_placeholder;Criar imagem específica na próxima versão
barrel_swan;image_reference/pilates_exercise_reference_sheet.svg#barrel_swan;direct;Referência esquemática direta
barrel_side_bend;image_reference/pilates_exercise_reference_sheet.svg#barrel_swan;family_placeholder;Criar imagem específica na próxima versão
barrel_horseback;image_reference/pilates_exercise_reference_sheet.svg#barrel_swan;family_placeholder;Criar imagem específica na próxima versão
access_magic_circle_adduction;image_reference/pilates_exercise_reference_sheet.svg#mat_pelvic_curl;family_placeholder;Criar imagem específica com círculo mágico
access_band_row;image_reference/pilates_exercise_reference_sheet.svg#mat_plank;family_placeholder;Criar imagem específica com faixa elástica
access_ball_bridge;image_reference/pilates_exercise_reference_sheet.svg#mat_pelvic_curl;family_placeholder;Criar imagem específica com bola
access_foam_roller_dead_bug;image_reference/pilates_exercise_reference_sheet.svg#mat_hundred;family_placeholder;Criar imagem específica no rolo
clinical_sit_to_stand;image_reference/pilates_exercise_reference_sheet.svg#chair_footwork;family_placeholder;Criar imagem funcional específica
clinical_wall_roll_down;image_reference/pilates_exercise_reference_sheet.svg#mat_roll_up;family_placeholder;Criar imagem funcional específica
clinical_balance_reach;image_reference/pilates_exercise_reference_sheet.svg#ref_scooter;family_placeholder;Criar imagem funcional específica
clinical_breathing_rib_cage;image_reference/pilates_exercise_reference_sheet.svg#mat_hundred;family_placeholder;Criar imagem respiratória específica
